Magnetic Anomaly (2018)
---------------------------------
Column1: Longitude (degree)
Column2: Latitude (degree)
Column3: Magnetic Anomaly (nT)
---------------------------------
Longit. Latit.  MagAno
128.150 35.175    61.5
128.175 35.175    53.5
128.200 35.175    69.0
128.225 35.175    -0.1
128.250 35.175   -97.9
128.275 35.175  -121.9
128.300 35.175  -187.1
128.325 35.175  -233.8
128.350 35.175  -213.4
128.375 35.175   -59.5
128.400 35.175    24.5
128.425 35.175    31.3
128.450 35.175    38.8
128.475 35.175   -69.6
128.500 35.175    18.7
128.525 35.175    53.9
128.550 35.175  -163.1
128.575 35.175  -275.1
128.600 35.175  -341.6
128.625 35.175  -127.6
128.650 35.175   -10.2
128.675 35.175     8.1
128.700 35.175   -75.2
128.725 35.175   176.2
128.750 35.175   484.7
128.775 35.175    92.8
128.800 35.175  -166.8
128.825 35.175  -222.7
128.850 35.175  -229.2
128.875 35.175  -118.0
128.900 35.175   -30.2
128.925 35.175   -10.1
128.950 35.175    71.1
128.975 35.175   -39.6
129.000 35.175   123.4
129.025 35.175   456.0
129.050 35.175   128.7
129.075 35.175   -43.3
129.100 35.175    23.9
129.125 35.175    88.6
129.150 35.175  -239.5
129.175 35.175  -252.1
129.200 35.175  -352.4
129.225 35.175   -23.7
129.250 35.175   -39.4
129.275 35.175  -217.8
129.300 35.175  -219.0
129.325 35.175   -61.2
129.350 35.175   210.5
129.375 35.175     4.4
125.925 35.200  -124.0
125.950 35.200  -122.3
125.975 35.200  -119.3
126.000 35.200  -113.4
126.025 35.200  -126.6
126.050 35.200  -151.4
126.075 35.200  -175.4
126.100 35.200   -38.0
126.125 35.200   100.9
126.150 35.200   -34.4
126.175 35.200   196.1
126.200 35.200   131.9
126.225 35.200   115.7
126.250 35.200   -57.6
126.275 35.200    86.4
126.300 35.200   107.2
126.325 35.200    89.9
126.350 35.200    45.4
126.375 35.200    47.8
126.400 35.200    55.8
126.425 35.200   -34.3
126.450 35.200   -90.8
126.475 35.200  -122.7
126.500 35.200   -24.7
126.525 35.200   -67.3
126.550 35.200   -53.4
126.575 35.200   -68.6
126.600 35.200   -55.1
126.625 35.200    -1.4
126.650 35.200   -16.8
126.675 35.200   -64.7
126.700 35.200  -112.3
126.725 35.200  -120.7
126.750 35.200  -125.2
126.775 35.200   -50.2
126.800 35.200   -50.9
126.825 35.200   -40.7
126.850 35.200   -52.5
126.875 35.200   -88.3
126.900 35.200   -69.9
126.925 35.200   -62.8
126.950 35.200   -17.4
126.975 35.200   -80.8
127.000 35.200  -147.8
127.025 35.200   -83.3
127.050 35.200   -65.3
127.075 35.200    -9.3
127.100 35.200    21.1
127.125 35.200    29.3
127.150 35.200   -61.8
127.175 35.200   -81.7
127.200 35.200   -93.5
127.225 35.200  -104.0
127.250 35.200   -98.8
127.275 35.200   -52.7
127.300 35.200   -29.1
127.325 35.200   -36.9
127.350 35.200   -50.8
127.375 35.200   -59.9
127.400 35.200   -68.4
127.425 35.200   -67.1
127.450 35.200   -90.3
127.475 35.200   -39.0
127.500 35.200   -23.3
127.525 35.200   -25.3
127.550 35.200   -83.9
127.575 35.200   -78.9
127.600 35.200   -70.4
127.625 35.200   -61.0
127.650 35.200  -118.1
127.675 35.200  -146.9
127.700 35.200  -243.1
127.725 35.200   -34.3
127.750 35.200   -71.1
127.775 35.200  -161.0
127.800 35.200  -131.2
127.825 35.200  -117.0
127.850 35.200   -86.8
127.875 35.200  -154.2
127.900 35.200  -165.0
127.925 35.200  -168.1
127.950 35.200  -158.6
127.975 35.200  -157.5
128.000 35.200  -126.7
128.025 35.200   -81.6
128.050 35.200   -46.4
128.075 35.200     4.7
128.100 35.200    45.0
128.125 35.200    48.1
128.150 35.200    51.6
128.175 35.200    -4.2
128.200 35.200    70.7
128.225 35.200    23.7
128.250 35.200   -72.8
128.275 35.200   -40.4
128.300 35.200   -84.9
128.325 35.200  -165.1
128.350 35.200  -169.6
128.375 35.200   132.0
128.400 35.200    55.4
128.425 35.200  -335.9
128.450 35.200  -212.0
128.475 35.200   -24.8
128.500 35.200  -194.1
128.525 35.200   -96.8
128.550 35.200   -58.1
128.575 35.200  -124.0
128.600 35.200  -218.2
128.625 35.200  -243.6
128.650 35.200  -255.1
128.675 35.200  -182.1
128.700 35.200  -181.2
128.725 35.200   353.5
128.750 35.200   744.2
128.775 35.200   -86.9
128.800 35.200   -65.8
128.825 35.200  -258.1
128.850 35.200  -126.7
128.875 35.200  -138.2
128.900 35.200   -75.4
128.925 35.200    25.6
128.950 35.200   134.9
128.975 35.200   215.8
129.000 35.200   272.8
129.025 35.200     1.2
129.050 35.200   -16.9
129.075 35.200  -115.3
129.100 35.200  -109.6
129.125 35.200   -91.6
129.150 35.200  -232.9
129.175 35.200  -718.6
129.200 35.200   -57.2
129.225 35.200    13.4
129.250 35.200  -310.9
129.275 35.200  -312.2
129.300 35.200  -310.2
129.325 35.200  -275.2
129.350 35.200  -188.6
129.375 35.200  -238.4
125.900 35.225   117.2
125.925 35.225   -88.9
125.950 35.225  -132.8
125.975 35.225   -76.1
126.000 35.225   -92.5
126.025 35.225   -93.6
126.050 35.225   -78.3
126.075 35.225     2.8
126.100 35.225  -318.0
126.125 35.225    -6.4
126.150 35.225     3.1
126.175 35.225     5.3
126.200 35.225    81.3
126.225 35.225   162.6
126.250 35.225    53.2
126.275 35.225    24.8
126.300 35.225   114.5
126.325 35.225    51.8
126.350 35.225    95.7
126.375 35.225   151.7
126.400 35.225    66.8
126.425 35.225   -44.2
126.450 35.225    63.9
126.475 35.225    30.8
126.500 35.225    16.0
126.525 35.225   -61.9
126.550 35.225   -54.9
126.575 35.225   -72.7
126.600 35.225   -79.4
126.625 35.225   -46.4
126.650 35.225   -27.5
126.675 35.225   -52.4
126.700 35.225   -74.1
126.725 35.225   -93.9
126.750 35.225   -60.5
126.775 35.225   -55.5
126.800 35.225   -21.5
126.825 35.225   -30.2
126.850 35.225   -23.1
126.875 35.225   -24.7
126.900 35.225     7.9
126.925 35.225   -47.5
126.950 35.225     1.2
126.975 35.225     2.1
127.000 35.225     4.8
127.025 35.225    16.1
127.050 35.225    26.9
127.075 35.225    17.1
127.100 35.225    34.4
127.125 35.225     2.2
127.150 35.225   -59.8
127.175 35.225   -85.3
127.200 35.225   -90.6
127.225 35.225   -89.7
127.250 35.225   -79.5
127.275 35.225  -103.7
127.300 35.225   -79.5
127.325 35.225   -50.5
127.350 35.225   -60.3
127.375 35.225   -77.1
127.400 35.225   -72.1
127.425 35.225   -88.5
127.450 35.225   -36.7
127.475 35.225   -79.2
127.500 35.225   -20.9
127.525 35.225  -161.5
127.550 35.225   -74.3
127.575 35.225   -82.6
127.600 35.225   -42.2
127.625 35.225   -66.6
127.650 35.225  -100.6
127.675 35.225   -88.3
127.700 35.225  -107.4
127.725 35.225   -77.0
127.750 35.225   -84.9
127.775 35.225  -157.2
127.800 35.225  -146.9
127.825 35.225  -129.9
127.850 35.225  -122.5
127.875 35.225  -147.8
127.900 35.225  -144.8
127.925 35.225  -145.5
127.950 35.225  -139.9
127.975 35.225   -95.9
128.000 35.225   -59.7
128.025 35.225   216.3
128.050 35.225    -4.3
128.075 35.225    45.0
128.100 35.225    82.3
128.125 35.225    83.4
128.150 35.225    50.2
128.175 35.225    28.5
128.200 35.225    23.6
128.225 35.225    46.0
128.250 35.225  -104.7
128.275 35.225    35.1
128.300 35.225   184.7
128.325 35.225  -123.2
128.350 35.225  -242.5
128.375 35.225  -599.9
128.400 35.225  -569.4
128.425 35.225  -507.4
128.450 35.225  -415.2
128.475 35.225  -347.1
128.500 35.225  -279.6
128.525 35.225  -193.9
128.550 35.225     0.4
128.575 35.225    29.2
128.600 35.225   -97.0
128.625 35.225  -124.6
128.650 35.225  -163.8
128.675 35.225  -177.5
128.700 35.225  -148.4
128.725 35.225  -360.1
128.750 35.225  -421.4
128.775 35.225   -70.2
128.800 35.225    63.3
128.825 35.225   -42.9
128.850 35.225   -71.9
128.875 35.225  -117.8
128.900 35.225   -82.3
128.925 35.225    39.0
128.950 35.225   283.8
128.975 35.225    91.0
129.000 35.225   -72.7
129.025 35.225   158.2
129.050 35.225   -96.0
129.075 35.225  -168.0
129.100 35.225   -97.0
129.125 35.225    -5.8
129.150 35.225   -38.7
129.175 35.225    20.2
129.200 35.225    31.4
129.225 35.225  -255.2
129.250 35.225  -312.4
129.275 35.225  -266.9
129.300 35.225  -231.6
129.325 35.225  -233.0
129.350 35.225  -173.8
129.375 35.225  -174.8
125.900 35.250   110.1
125.925 35.250    62.1
125.950 35.250   153.0
125.975 35.250   -54.0
126.000 35.250   -50.3
126.025 35.250    28.0
126.050 35.250   -77.5
126.075 35.250     5.3
126.100 35.250    87.1
126.125 35.250    36.2
126.150 35.250   181.3
126.175 35.250   124.9
126.200 35.250  -129.3
126.225 35.250  -134.2
126.250 35.250  -110.4
126.275 35.250   -36.3
126.300 35.250   -77.2
126.325 35.250    25.3
126.350 35.250   -27.2
126.375 35.250   -31.9
126.400 35.250    90.2
126.425 35.250   -72.5
126.450 35.250   -65.3
126.475 35.250   -66.8
126.500 35.250    -5.5
126.525 35.250   127.5
126.550 35.250    88.7
126.575 35.250    74.9
126.600 35.250   -98.2
126.625 35.250   -51.8
126.650 35.250   -39.9
126.675 35.250   -53.8
126.700 35.250   -61.0
126.725 35.250   -25.1
126.750 35.250   -62.9
126.775 35.250  -211.4
126.800 35.250    25.3
126.825 35.250   103.8
126.850 35.250   107.1
126.875 35.250   116.0
126.900 35.250   846.6
126.925 35.250    71.0
126.950 35.250    62.4
126.975 35.250    42.9
127.000 35.250   117.0
127.025 35.250    97.0
127.050 35.250   112.1
127.075 35.250   105.7
127.100 35.250    62.3
127.125 35.250   -29.9
127.150 35.250   -47.3
127.175 35.250   -85.7
127.200 35.250   -79.2
127.225 35.250   -61.3
127.250 35.250   -88.6
127.275 35.250  -236.0
127.300 35.250   -68.0
127.325 35.250   -79.2
127.350 35.250   -73.3
127.375 35.250   -87.0
127.400 35.250   -75.3
127.425 35.250   -98.1
127.450 35.250   -56.8
127.475 35.250     0.6
127.500 35.250   -91.4
127.525 35.250  -114.2
127.550 35.250  -118.5
127.575 35.250  -151.0
127.600 35.250  -116.5
127.625 35.250  -186.1
127.650 35.250  -176.2
127.675 35.250  -180.6
127.700 35.250  -161.1
127.725 35.250  -160.4
127.750 35.250  -135.5
127.775 35.250  -134.9
127.800 35.250   -67.4
127.825 35.250  -144.0
127.850 35.250  -105.7
127.875 35.250  -133.5
127.900 35.250  -121.5
127.925 35.250  -140.2
127.950 35.250  -123.4
127.975 35.250   -83.3
128.000 35.250     8.7
128.025 35.250     7.6
128.050 35.250    89.6
128.075 35.250   144.5
128.100 35.250   168.6
128.125 35.250   134.5
128.150 35.250    81.0
128.175 35.250    55.1
128.200 35.250    46.9
128.225 35.250    77.5
128.250 35.250    20.7
128.275 35.250  -112.0
128.300 35.250  -342.1
128.325 35.250  -212.2
128.350 35.250  -250.5
128.375 35.250  -334.6
128.400 35.250  -434.5
128.425 35.250  -517.2
128.450 35.250  -403.0
128.475 35.250  -118.2
128.500 35.250  -271.1
128.525 35.250  -406.3
128.550 35.250  -300.4
128.575 35.250  -261.1
128.600 35.250  -237.9
128.625 35.250  -128.3
128.650 35.250   -49.7
128.675 35.250     1.2
128.700 35.250   115.7
128.725 35.250    94.6
128.750 35.250    97.6
128.775 35.250    -9.8
128.800 35.250    38.5
128.825 35.250   -29.1
128.850 35.250   -65.1
128.875 35.250   -96.9
128.900 35.250   -65.5
128.925 35.250   -57.6
128.950 35.250   146.6
128.975 35.250    35.2
129.000 35.250   -35.7
129.025 35.250   156.8
129.050 35.250    99.7
129.075 35.250    33.3
129.100 35.250  -177.0
129.125 35.250     6.9
129.150 35.250    10.4
129.175 35.250   137.2
129.200 35.250  -155.6
129.225 35.250  -244.0
129.250 35.250  -290.7
129.275 35.250  -108.8
129.300 35.250  -113.5
129.325 35.250  -167.7
129.350 35.250  -135.8
129.375 35.250   -77.6
126.175 35.275   -68.5
126.200 35.275   -73.9
126.225 35.275    11.2
126.250 35.275   -32.2
126.275 35.275   -35.4
126.300 35.275   -24.1
126.325 35.275    91.8
126.350 35.275    82.9
126.375 35.275    76.1
126.400 35.275   160.9
126.425 35.275    -5.0
126.450 35.275    24.9
126.475 35.275   -14.1
126.500 35.275   -23.5
126.525 35.275    24.9
126.550 35.275    58.2
126.575 35.275    15.7
126.600 35.275   107.7
126.625 35.275   -11.8
126.650 35.275   -79.1
126.675 35.275   -77.0
126.700 35.275    66.6
126.725 35.275   -19.6
126.750 35.275   -16.9
126.775 35.275   -38.1
126.800 35.275    64.4
126.825 35.275   277.4
126.850 35.275   359.2
126.875 35.275   222.4
126.900 35.275    43.9
126.925 35.275    62.1
126.950 35.275    82.9
126.975 35.275    68.4
127.000 35.275    51.1
127.025 35.275    29.6
127.050 35.275   179.3
127.075 35.275   161.5
127.100 35.275   149.5
127.125 35.275    56.8
127.150 35.275    23.6
127.175 35.275   -11.2
127.200 35.275   -45.1
127.225 35.275   -71.9
127.250 35.275   -59.0
127.275 35.275   -86.7
127.300 35.275   -53.5
127.325 35.275   -50.9
127.350 35.275   -77.6
127.375 35.275   -92.8
127.400 35.275  -110.2
127.425 35.275  -113.8
127.450 35.275  -126.5
127.475 35.275  -110.7
127.500 35.275   -82.4
127.525 35.275   -41.5
127.550 35.275   -45.3
127.575 35.275    -3.1
127.600 35.275   -42.4
127.625 35.275   -27.7
127.650 35.275   -87.7
127.675 35.275    98.1
127.700 35.275   -69.0
127.725 35.275  -116.0
127.750 35.275  -133.4
127.775 35.275  -134.9
127.800 35.275   -86.6
127.825 35.275  -163.9
127.850 35.275   -45.4
127.875 35.275  -129.9
127.900 35.275  -129.8
127.925 35.275  -137.6
127.950 35.275  -132.7
127.975 35.275  -109.2
128.000 35.275   -75.6
128.025 35.275   -12.4
128.050 35.275   129.3
128.075 35.275   132.3
128.100 35.275   116.6
128.125 35.275    93.5
128.150 35.275    56.7
128.175 35.275    18.5
128.200 35.275   -17.2
128.225 35.275     5.2
128.250 35.275     2.3
128.275 35.275   -51.8
128.300 35.275  -136.1
128.325 35.275  -167.5
128.350 35.275  -190.8
128.375 35.275  -191.8
128.400 35.275  -241.5
128.425 35.275  -304.8
128.450 35.275  -377.5
128.475 35.275  -175.1
128.500 35.275  -497.0
128.525 35.275  -288.8
128.550 35.275  -165.6
128.575 35.275  -194.4
128.600 35.275  -147.6
128.625 35.275  -179.3
128.650 35.275   -75.7
128.675 35.275  -166.1
128.700 35.275   -55.7
128.725 35.275   202.3
128.750 35.275    10.5
128.775 35.275    26.0
128.800 35.275  -108.3
128.825 35.275  -125.5
128.850 35.275   -20.1
128.875 35.275   -41.7
128.900 35.275   -53.3
128.925 35.275   -26.1
128.950 35.275   -89.9
128.975 35.275    92.4
129.000 35.275    75.0
129.025 35.275    99.4
129.050 35.275    34.1
129.075 35.275   113.5
129.100 35.275  -146.6
129.125 35.275  -122.5
129.150 35.275   -20.5
129.175 35.275  -293.7
129.200 35.275  -350.8
129.225 35.275  -300.0
129.250 35.275  -280.2
129.275 35.275  -122.5
129.300 35.275    39.6
129.325 35.275   -88.7
129.350 35.275   -88.6
129.375 35.275   -98.2
126.200 35.300   -56.1
126.225 35.300   -44.1
126.250 35.300   -48.6
126.275 35.300   -16.5
126.300 35.300    -4.1
126.325 35.300   -27.8
126.350 35.300   -45.6
126.375 35.300    80.1
126.400 35.300   235.8
126.425 35.300   224.8
126.450 35.300   -54.7
126.475 35.300  -129.5
126.500 35.300  -104.8
126.525 35.300   -37.5
126.550 35.300   -19.3
126.575 35.300    -6.7
126.600 35.300    39.4
126.625 35.300    16.0
126.650 35.300   -65.9
126.675 35.300   -89.0
126.700 35.300  -103.2
126.725 35.300  -215.4
126.750 35.300  -180.7
126.775 35.300  -135.0
126.800 35.300  -292.9
126.825 35.300  -377.2
126.850 35.300  -204.1
126.875 35.300    89.6
126.900 35.300   -97.9
126.925 35.300    55.3
126.950 35.300  -139.8
126.975 35.300  -293.7
127.000 35.300  2061.5
127.025 35.300   111.0
127.050 35.300   258.6
127.075 35.300   513.4
127.100 35.300    53.4
127.125 35.300    64.0
127.150 35.300    49.3
127.175 35.300    40.3
127.200 35.300   -38.6
127.225 35.300   -45.0
127.250 35.300   -91.2
127.275 35.300   -89.2
127.300 35.300   -85.6
127.325 35.300   -79.0
127.350 35.300   -68.0
127.375 35.300   -79.4
127.400 35.300   -86.0
127.425 35.300   -83.8
127.450 35.300  -101.4
127.475 35.300   -98.0
127.500 35.300  -110.7
127.525 35.300  -118.3
127.550 35.300  -120.3
127.575 35.300  -105.9
127.600 35.300  -113.2
127.625 35.300   -91.5
127.650 35.300   -69.3
127.675 35.300   -93.9
127.700 35.300   -88.1
127.725 35.300  -115.6
127.750 35.300  -175.2
127.775 35.300  -144.9
127.800 35.300  -133.0
127.825 35.300  -144.5
127.850 35.300   -50.2
127.875 35.300  -126.3
127.900 35.300  -124.9
127.925 35.300   -99.5
127.950 35.300  -105.8
127.975 35.300  -112.2
128.000 35.300  -115.6
128.025 35.300    -6.9
128.050 35.300   265.6
128.075 35.300    97.1
128.100 35.300    58.0
128.125 35.300    53.1
128.150 35.300    49.3
128.175 35.300    27.5
128.200 35.300    36.6
128.225 35.300    19.1
128.250 35.300   176.5
128.275 35.300   -68.3
128.300 35.300   -95.4
128.325 35.300  -144.4
128.350 35.300  -170.7
128.375 35.300  -203.9
128.400 35.300  -196.2
128.425 35.300  -208.7
128.450 35.300  -291.2
128.475 35.300  -354.8
128.500 35.300  -227.4
128.525 35.300  -267.9
128.550 35.300  -227.5
128.575 35.300  -204.1
128.600 35.300  -121.0
128.625 35.300  -109.8
128.650 35.300  -115.3
128.675 35.300    17.9
128.700 35.300  -130.5
128.725 35.300  -252.1
128.750 35.300  -186.3
128.775 35.300  -360.1
128.800 35.300  -118.5
128.825 35.300   -33.5
128.850 35.300    43.0
128.875 35.300     0.7
128.900 35.300    58.9
128.925 35.300    93.6
128.950 35.300   398.8
128.975 35.300   457.9
129.000 35.300   131.6
129.025 35.300    30.4
129.050 35.300   127.7
129.075 35.300  -190.5
129.100 35.300  -116.8
129.125 35.300  -143.5
129.150 35.300  -292.3
129.175 35.300  -137.9
129.200 35.300  -151.7
129.225 35.300  -208.7
129.250 35.300  -168.8
129.275 35.300  -200.1
129.300 35.300    44.5
129.325 35.300   -81.6
129.350 35.300  -105.2
129.375 35.300   -99.4
126.200 35.325  -157.0
126.225 35.325  -108.6
126.250 35.325   -93.6
126.275 35.325    13.3
126.300 35.325    64.9
126.325 35.325   -34.0
126.350 35.325   -33.2
126.375 35.325   -46.4
126.400 35.325    88.2
126.425 35.325   166.7
126.450 35.325    89.6
126.475 35.325  -119.8
126.500 35.325  -107.9
126.525 35.325  -105.0
126.550 35.325   -56.1
126.575 35.325   -45.4
126.600 35.325   -38.9
126.625 35.325    12.5
126.650 35.325    28.8
126.675 35.325   -40.9
126.700 35.325   -97.2
126.725 35.325   -76.1
126.750 35.325   -88.0
126.775 35.325  -103.5
126.800 35.325  -131.1
126.825 35.325  -179.6
126.850 35.325  -227.0
126.875 35.325  -216.9
126.900 35.325  -249.4
126.925 35.325   668.5
126.950 35.325   284.4
126.975 35.325   136.1
127.000 35.325   133.0
127.025 35.325   210.2
127.050 35.325    85.8
127.075 35.325    91.9
127.100 35.325   119.8
127.125 35.325   135.7
127.150 35.325    94.8
127.175 35.325    38.1
127.200 35.325     5.3
127.225 35.325     1.6
127.250 35.325   -52.5
127.275 35.325   -13.7
127.300 35.325   -73.3
127.325 35.325   -91.3
127.350 35.325   -97.2
127.375 35.325   -86.2
127.400 35.325   -94.0
127.425 35.325   -84.6
127.450 35.325   -72.0
127.475 35.325   -62.8
127.500 35.325   -61.1
127.525 35.325   -81.3
127.550 35.325   -74.2
127.575 35.325  -104.3
127.600 35.325   -92.3
127.625 35.325   -32.4
127.650 35.325     4.9
127.675 35.325   -70.5
127.700 35.325  -104.1
127.725 35.325  -109.8
127.750 35.325  -120.9
127.775 35.325  -140.1
127.800 35.325  -100.3
127.825 35.325  -169.4
127.850 35.325  -115.6
127.875 35.325   -83.8
127.900 35.325  -107.1
127.925 35.325   -44.6
127.950 35.325   -85.8
127.975 35.325   -81.2
128.000 35.325  -100.9
128.025 35.325  -125.4
128.050 35.325   -50.9
128.075 35.325     9.7
128.100 35.325    19.9
128.125 35.325    42.3
128.150 35.325    65.7
128.175 35.325    71.6
128.200 35.325    41.2
128.225 35.325     3.0
128.250 35.325    47.4
128.275 35.325   -56.6
128.300 35.325   -85.6
128.325 35.325  -113.3
128.350 35.325  -140.5
128.375 35.325  -163.8
128.400 35.325  -142.7
128.425 35.325  -103.6
128.450 35.325  -265.2
128.475 35.325  -291.6
128.500 35.325  -294.7
128.525 35.325  -349.5
128.550 35.325  -205.6
128.575 35.325  -128.5
128.600 35.325   -83.6
128.625 35.325   -85.2
128.650 35.325  -106.2
128.675 35.325  -105.7
128.700 35.325   -75.6
128.725 35.325   -61.0
128.750 35.325   -66.3
128.775 35.325   -26.9
128.800 35.325    81.4
128.825 35.325     0.7
128.850 35.325   -65.0
128.875 35.325   200.6
128.900 35.325  -161.8
128.925 35.325   -36.3
128.950 35.325   119.4
128.975 35.325   396.6
129.000 35.325   202.6
129.025 35.325    20.7
129.050 35.325   341.1
129.075 35.325    11.0
129.100 35.325   -80.1
129.125 35.325  -161.9
129.150 35.325    24.3
129.175 35.325   -20.5
129.200 35.325   -19.9
129.225 35.325   123.5
129.250 35.325  -117.2
129.275 35.325  -106.6
129.300 35.325   114.1
129.325 35.325     8.7
129.350 35.325  -112.1
129.375 35.325  -102.0
126.200 35.350  -132.6
126.225 35.350  -150.3
126.250 35.350  -187.4
126.275 35.350  -203.4
126.300 35.350   -42.0
126.325 35.350   -74.6
126.350 35.350   -70.4
126.375 35.350   -38.4
126.400 35.350    12.0
126.425 35.350    40.1
126.450 35.350   -71.0
126.475 35.350  -133.0
126.500 35.350  -160.8
126.525 35.350  -136.3
126.550 35.350   -96.1
126.575 35.350   -74.2
126.600 35.350   -74.4
126.625 35.350   -66.1
126.650 35.350     4.4
126.675 35.350  -165.2
126.700 35.350  -182.2
126.725 35.350  -179.8
126.750 35.350  -169.6
126.775 35.350  -139.4
126.800 35.350   -98.4
126.825 35.350   -42.9
126.850 35.350  -169.2
126.875 35.350  -307.7
126.900 35.350  -387.8
126.925 35.350  -302.6
126.950 35.350  -251.9
126.975 35.350  -198.7
127.000 35.350  -152.5
127.025 35.350   -48.4
127.050 35.350    -4.7
127.075 35.350   142.2
127.100 35.350   307.8
127.125 35.350   423.4
127.150 35.350   144.9
127.175 35.350    62.9
127.200 35.350    17.4
127.225 35.350   -60.9
127.250 35.350   -65.5
127.275 35.350   -33.6
127.300 35.350   -98.3
127.325 35.350  -121.3
127.350 35.350  -114.3
127.375 35.350  -137.7
127.400 35.350  -114.0
127.425 35.350   -98.5
127.450 35.350   -62.0
127.475 35.350   -47.3
127.500 35.350   -39.6
127.525 35.350   -67.1
127.550 35.350   -50.1
127.575 35.350   -63.7
127.600 35.350  -107.0
127.625 35.350   -79.6
127.650 35.350   -28.2
127.675 35.350   -94.4
127.700 35.350   -90.5
127.725 35.350  -142.7
127.750 35.350  -168.3
127.775 35.350  -151.8
127.800 35.350  -132.9
127.825 35.350   -77.7
127.850 35.350  -107.2
127.875 35.350   -49.7
127.900 35.350   -50.2
127.925 35.350    16.6
127.950 35.350    15.7
127.975 35.350   -43.9
128.000 35.350  -101.2
128.025 35.350  -156.5
128.050 35.350  -113.3
128.075 35.350   -48.4
128.100 35.350   -14.9
128.125 35.350     5.7
128.150 35.350    36.5
128.175 35.350    83.1
128.200 35.350    28.9
128.225 35.350    70.5
128.250 35.350    60.1
128.275 35.350   -24.7
128.300 35.350   -55.8
128.325 35.350   -90.3
128.350 35.350  -115.5
128.375 35.350  -139.6
128.400 35.350  -192.9
128.425 35.350  -219.1
128.450 35.350  -235.0
128.475 35.350  -254.3
128.500 35.350  -262.9
128.525 35.350  -213.9
128.550 35.350   -91.2
128.575 35.350    -9.5
128.600 35.350   -54.8
128.625 35.350  -164.0
128.650 35.350   -82.1
128.675 35.350  -178.0
128.700 35.350   -70.7
128.725 35.350   -29.5
128.750 35.350   -66.7
128.775 35.350    -0.1
128.800 35.350   128.5
128.825 35.350   236.7
128.850 35.350  -275.1
128.875 35.350   -10.6
128.900 35.350  -208.4
128.925 35.350    57.7
128.950 35.350  -144.6
128.975 35.350   -34.2
129.000 35.350     4.5
129.025 35.350   151.8
129.050 35.350   -77.5
129.075 35.350   131.3
129.100 35.350    80.1
129.125 35.350   -32.0
129.150 35.350  -101.0
129.175 35.350  -194.3
129.200 35.350  -174.2
129.225 35.350  -245.7
129.250 35.350     9.1
129.275 35.350   141.2
129.300 35.350    58.6
129.325 35.350   175.3
129.350 35.350   -40.6
129.375 35.350  -127.3
129.400 35.350  -195.5
129.425 35.350  -186.4
129.450 35.350  -125.7
129.475 35.350  -104.0
129.500 35.350   -90.7
126.250 35.375  -196.9
126.275 35.375  -269.5
126.300 35.375  -323.5
126.325 35.375  -315.9
126.350 35.375  -316.2
126.375 35.375  -122.5
126.400 35.375    53.9
126.425 35.375    -1.2
126.450 35.375  -203.5
126.475 35.375  -169.3
126.500 35.375  -179.3
126.525 35.375  -148.6
126.550 35.375  -131.2
126.575 35.375  -102.4
126.600 35.375   -95.4
126.625 35.375   -95.5
126.650 35.375   -64.5
126.675 35.375   -72.4
126.700 35.375  -144.4
126.725 35.375  -104.7
126.750 35.375  -109.2
126.775 35.375   -93.5
126.800 35.375   -64.8
126.825 35.375   -68.0
126.850 35.375   -57.7
126.875 35.375   -18.7
126.900 35.375   -10.1
126.925 35.375   -36.4
126.950 35.375    37.4
126.975 35.375    55.8
127.000 35.375   119.3
127.025 35.375    99.7
127.050 35.375     2.1
127.075 35.375   -27.6
127.100 35.375  -107.8
127.125 35.375   -93.1
127.150 35.375    14.0
127.175 35.375    41.9
127.200 35.375    40.9
127.225 35.375    28.8
127.250 35.375   -62.9
127.275 35.375    14.3
127.300 35.375   -49.8
127.325 35.375   -52.0
127.350 35.375   -56.2
127.375 35.375   -75.6
127.400 35.375   -71.0
127.425 35.375   -66.6
127.450 35.375  -121.7
127.475 35.375   -76.7
127.500 35.375   -63.0
127.525 35.375   -73.4
127.550 35.375   -61.5
127.575 35.375   -53.4
127.600 35.375   -40.6
127.625 35.375    46.7
127.650 35.375   660.2
127.675 35.375    37.9
127.700 35.375   -52.8
127.725 35.375   -63.6
127.750 35.375  -108.4
127.775 35.375  -142.9
127.800 35.375  -124.8
127.825 35.375  -170.3
127.850 35.375   -71.7
127.875 35.375   -77.3
127.900 35.375    66.3
127.925 35.375   177.2
127.950 35.375   441.4
127.975 35.375    27.0
128.000 35.375  -144.3
128.025 35.375  -145.4
128.050 35.375   -80.6
128.075 35.375   -58.2
128.100 35.375   -32.3
128.125 35.375     3.5
128.150 35.375    22.9
128.175 35.375    35.8
128.200 35.375   186.6
128.225 35.375   339.6
128.250 35.375   193.1
128.275 35.375     5.2
128.300 35.375   -50.7
128.325 35.375   -82.4
128.350 35.375  -111.0
128.375 35.375  -113.8
128.400 35.375  -148.3
128.425 35.375  -165.8
128.450 35.375  -178.5
128.475 35.375  -202.3
128.500 35.375  -228.1
128.525 35.375  -226.3
128.550 35.375  -131.0
128.575 35.375  -157.6
128.600 35.375    92.7
128.625 35.375  -109.9
128.650 35.375  -202.0
128.675 35.375   -84.8
128.700 35.375   -61.5
128.725 35.375   -33.8
128.750 35.375    -0.3
128.775 35.375   196.4
128.800 35.375   -58.0
128.825 35.375    69.3
128.850 35.375   217.9
128.875 35.375   389.3
128.900 35.375   142.2
128.925 35.375    64.8
